current_date,opening_balance,closing_balance,monthly_realized_pnl,monthly_unrealized_pnl,ticker,status,shares_qty,bought_price,bought_date,current_price,current_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,cash_balance,total_portfolio_value,bought_value,tag
2/29/2016,,,,,TORNTPOWER.NS,Sold,197,234,1/31/2016,227.75,44866.75,0,,-1231.25,-2.670940171,,,,Nifty Next 50
2/29/2016,,,,,TATAELXSI.NS,Sold,54,919.2249756,8/31/2015,847.125,45744.75,0,,-3893.398682,-7.843561424,,,,Other 500 Stocks
2/29/2016,,,,,MOREPENLAB.NS,Sold,1344,37.65000153,12/31/2015,25.39999962,34137.59949,0,,-16464.00256,-32.53652433,,,,Nifty SmallCap 250
2/29/2016,,,,,VEEDOL.NS,Sold,36,1394.670044,12/31/2015,1147.550049,41311.80176,0,,-8896.319824,-17.718886,,,,Nifty SmallCap 250
2/29/2016,,,,,DIVISLAB.NS,Sold,42,1182.050049,8/31/2015,950.5499878,39923.09949,0,,-9723.002563,-19.58462429,,,,Nifty 50
2/29/2016,,,,,RAJESHEXPO.NS,Sold,98,506.5,8/31/2015,707.9500122,69379.1012,0,,19742.1012,39.77295404,,,,Other 500 Stocks
2/29/2016,,,,,NILKAMAL.NS,Sold,40,1253.699951,12/31/2015,976.2000122,39048.00049,0,,-11099.99756,-22.13447793,,,,Nifty Micro 250
2/29/2016,,,,,COFORGE.NS,Sold,418,110.3399963,1/31/2016,83.91000366,35074.38153,0,,-11047.73694,-23.95322961,,,,Nifty Midcap 150
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,PETRONET.NS,Held,415,117.125,11/30/2015,117.5500031,48783.25127,176.3762665,0.362862798,,,1281.432831,853420.9078,48606.875,Other 500 Stocks
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,IGL.NS,Held,956,52.90000153,12/31/2015,50.83499908,48598.25912,-1974.142334,-3.903596185,,,1281.432831,853420.9078,50572.40146,Nifty Midcap 150
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,VAKRANGEE.NS,Held,622,81.29891968,12/31/2015,99.51546478,61898.61909,11330.69106,22.40687229,,,1281.432831,853420.9078,50567.92804,Other 500 Stocks
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,BAJFINANCE.NS,Held,779,59.2840004,1/31/2016,59.32049942,46210.66905,28.43273926,0.061566398,,,1281.432831,853420.9078,46182.23631,Nifty 50
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,JSWSTEEL.NS,Held,436,105.7050018,1/31/2016,112.6449966,49113.21854,3025.837738,6.565436537,,,1281.432831,853420.9078,46087.3808,Nifty 50
